sex,age,pyld_rate,mx,qx,lx,dx,Lx,ex,Lwx,ewx
female,17,0.093744291,2.0002000266704e-4,1.9999999999997797e-4,100000,19.999999999997797,99990,69.29972271950113,90616.50834290999,58.58639802532063
female,18,0.097804111,2.1002205308753e-4,2.1000000000004349e-4,99980,20.995800000004348,99969.5021,68.31348541658444,90192.07381999686,57.691771296150755
female,19,0.102282685,2.1002205308753e-4,2.1000000000004349e-4,99959.0042,20.991390882004346,99948.508504559,67.32772923972479,89725.50669296736,56.80159847339851
female,20,0.106839235,2.1002205308753e-4,2.1000000000004349e-4,99938.012809118,20.986982689919124,99927.51931777303,66.34176601058701,89251.33959841443,55.91571771943767
female,21,0.111069277,2.1002205308753e-4,2.1000000000004349e-4,99917.02582642807,20.98257542355424,99906.5345387163,65.35559568568101,88809.98797992554,55.0342079199812
female,22,0.114509772,2.0002000266704e-4,1.9999999999997797e-4,99896.04325100452,19.979208650198704,99886.05364667941,64.36921822150752,88448.12441761838,54.15674345083179
female,23,0.116852194,2.0002000266704e-4,1.9999999999997797e-4,99876.06404235432,19.975212808468665,99866.07643595009,63.38199462043161,88196.50629823763,53.281998171488894
female,24,0.118306781,2.0002000266704e-4,1.9999999999997797e-4,99856.08882954586,19.97121776590697,99846.1032206629,62.39457353513863,88033.63215323254,52.40942056438236
female,25,0.119184678,2.1002205308753e-4,2.1000000000004349e-4,99836.11761177995,20.965584698478132,99825.6348194307,61.406954926123866,87927.94867733127,51.53812313933212
female,26,0.119819861,2.1002205308753e-4,2.1000000000004349e-4,99815.15202708147,20.96118192569145,99804.67143611862,60.41974807321924,87846.08957749221,50.66804059146514
female,27,0.120557536,2.1002205308753e-4,2.1000000000004349e-4,99794.19084515577,20.95678007748705,99783.71245511703,59.43233386333054,87754.0339485956,49.79841053759264
female,28,0.121306743,2.2002420354991e-4,2.1999999999999797e-4,99773.23406507829,21.95011149431702,99762.25900933113,58.44471225290366,87660.42429458676,48.92933557552222
female,29,0.121831851,2.4002880460884e-4,2.4000000000001798e-4,99751.28395358397,23.94030814886195,99739.31379950955,57.457462894740495,87587.88858184544,48.06131246352247
female,30,0.122270098,2.7003645656232e-4,2.6999999999999247e-4,99727.34364543512,26.926382784266732,99713.88045404298,56.47113596737266,87521.85451896687,47.194576393034666
