year,sex,ishd,tbalc
96,male,0.786365504,0.793103448
97,male,0.786365504,0.793103448
98,male,0.786365504,0.793103448
99,male,0.786365504,0.793103448
0,female,1,1
1,female,0.953404768,1.004427277
10,female,0.787746709,1.045165295
100,female,0.787746709,1.049792531
11,female,0.787746709,1.049792531
12,female,0.787746709,1.049792531
13,female,0.787746709,1.049792531
14,female,0.787746709,1.049792531
15,female,0.787746709,1.049792531
16,female,0.787746709,1.049792531
17,female,0.787746709,1.049792531
18,female,0.787746709,1.049792531
19,female,0.787746709,1.049792531
2,female,0.908980651,1.008874154
20,female,0.787746709,1.049792531
21,female,0.787746709,1.049792531
22,female,0.787746709,1.049792531
23,female,0.787746709,1.049792531
24,female,0.787746709,1.049792531
25,female,0.787746709,1.049792531
26,female,0.787746709,1.049792531
27,female,0.787746709,1.049792531
28,female,0.787746709,1.049792531
29,female,0.787746709,1.049792531
3,female,0.866626487,1.013340719
30,female,0.787746709,1.049792531
31,female,0.787746709,1.049792531
32,female,0.787746709,1.049792531
33,female,0.787746709,1.049792531
34,female,0.787746709,1.049792531
35,female,0.787746709,1.049792531
36,female,0.787746709,1.049792531
37,female,0.787746709,1.049792531
38,female,0.787746709,1.049792531
39,female,0.787746709,1.049792531
4,female,0.826245825,1.017827058
40,female,0.787746709,1.049792531
41,female,0.787746709,1.049792531
42,female,0.787746709,1.049792531
43,female,0.787746709,1.049792531
44,female,0.787746709,1.049792531
45,female,0.787746709,1.049792531
46,female,0.787746709,1.049792531
47,female,0.787746709,1.049792531
48,female,0.787746709,1.049792531
49,female,0.787746709,1.049792531
5,female,0.787746709,1.02233326
50,female,0.787746709,1.049792531
51,female,0.787746709,1.049792531
52,female,0.787746709,1.049792531
53,female,0.787746709,1.049792531
54,female,0.787746709,1.049792531
55,female,0.787746709,1.049792531
56,female,0.787746709,1.049792531
57,female,0.787746709,1.049792531
58,female,0.787746709,1.049792531
59,female,0.787746709,1.049792531
6,female,0.787746709,1.026859412
60,female,0.787746709,1.049792531
61,female,0.787746709,1.049792531
62,female,0.787746709,1.049792531
63,female,0.787746709,1.049792531
64,female,0.787746709,1.049792531
65,female,0.787746709,1.049792531
66,female,0.787746709,1.049792531
67,female,0.787746709,1.049792531
68,female,0.787746709,1.049792531
69,female,0.787746709,1.049792531
7,female,0.787746709,1.031405603
70,female,0.787746709,1.049792531
71,female,0.787746709,1.049792531
72,female,0.787746709,1.049792531
73,female,0.787746709,1.049792531
74,female,0.787746709,1.049792531
75,female,0.787746709,1.049792531
76,female,0.787746709,1.049792531
77,female,0.787746709,1.049792531
78,female,0.787746709,1.049792531
79,female,0.787746709,1.049792531
8,female,0.787746709,1.035971921
80,female,0.787746709,1.049792531
81,female,0.787746709,1.049792531
82,female,0.787746709,1.049792531
83,female,0.787746709,1.049792531
84,female,0.787746709,1.049792531
85,female,0.787746709,1.049792531
86,female,0.787746709,1.049792531
87,female,0.787746709,1.049792531
88,female,0.787746709,1.049792531
89,female,0.787746709,1.049792531
9,female,0.787746709,1.040558455
90,female,0.787746709,1.049792531
91,female,0.787746709,1.049792531
92,female,0.787746709,1.049792531
93,female,0.787746709,1.049792531
94,female,0.787746709,1.049792531
95,female,0.787746709,1.049792531
96,female,0.787746709,1.049792531
97,female,0.787746709,1.049792531
98,female,0.787746709,1.049792531
99,female,0.787746709,1.049792531
